
 INFO Server running on [http://127.0.0.1:8001]. 

 Press Ctrl+C to stop the server

 2026-08-27 16:36:10 /sso/exchange .. ~ 519.86ms
 2026-08-27 16:36:10 /dashboard .. ~ 0.06ms
 2026-08-27 16:36:10 /build/assets/app-gwS8Gs8z.css .. ~ 0.04ms
 2026-08-27 16:36:10 /build/assets/instrument-sans-400-normal-DRC__1Mx.woff2 .. ~ 0.24ms
 2026-08-27 16:36:10 /build/assets/instrument-sans-500-normal-Dk9ku72i.woff2 .. ~ 0.60ms
 2026-08-27 16:36:10 /build/assets/instrument-sans-600-normal-B7fBEWYG.woff2 .. ~ 0.82ms
 2026-08-27 16:36:10 /build/assets/rolldown-runtime-CbXtAM7H.js .. ~ 1.18ms
 2026-08-27 16:36:10 /build/assets/app-DolNItQx.js .. ~ 1.84ms
 2026-08-27 16:36:10 /build/assets/wayfinder-DZh1HhRB.js .. ~ 0.04ms
 2026-08-27 16:36:11 /build/assets/utils-CCDJ05Ll.js .. ~ 0.06ms
 2026-08-27 16:36:11 /build/assets/dist-C4E0F_Zx.js .. ~ 0.38ms
 2026-08-27 16:36:11 /build/assets/button-Gg-Ut9h1.js .. ~ 0.66ms
 2026-08-27 16:36:11 /build/assets/dist-DYpAiMua.js .. ~ 0.97ms
 2026-08-27 16:36:11 /build/assets/es2015-BuDVKjBt.js .. ~ 1.32ms
 2026-08-27 16:36:11 /build/assets/createLucideIcon-DmbgV8gS.js .. ~ 0.03ms
 2026-08-27 16:36:11 /build/assets/rolldown-runtime-CbXtAM7H.js .. ~ 0.15ms
 2026-08-27 16:36:11 /build/assets/app-DolNItQx.js .. ~ 0.41ms
 2026-08-27 16:36:11 /build/assets/wayfinder-DZh1HhRB.js .. ~ 0.67ms
 2026-08-27 16:36:11 /build/assets/validation-CE1VJZsf.js .. ~ 0.05ms
 2026-08-27 16:36:11 /build/assets/weighing-BMCW3w70.js .. ~ 0.26ms
 2026-08-27 16:36:11 /build/assets/attachments-CJgRV7Us.js .. ~ 0.65ms
 2026-08-27 16:36:11 /build/assets/review-BlEntY1K.js .. ~ 1.03ms
 2026-08-27 16:36:11 /build/assets/report-BP4HFjM6.js .. ~ 0.63ms
 2026-08-27 16:36:11 /build/assets/dashboard-DfOmZYM6.js .. ~ 0.02ms
 2026-08-27 16:36:11 /build/assets/card-BYCv6fNN.js .. ~ 0.22ms
 2026-08-27 16:36:11 /build/assets/list-checks-ivbD5vCG.js .. ~ 0.78ms
 2026-08-27 16:36:11 /build/assets/label-CZXitPCt.js .. ~ 1.31ms
 2026-08-27 16:36:11 /build/assets/trial-status-D3UwhyRl.js .. ~ 1.90ms
 2026-08-27 16:36:11 /build/assets/trials-table-B3wlxuJG.js .. ~ 2.50ms
 2026-08-27 16:36:11 /build/assets/pagination-footer-DKvBHcl9.js .. ~ 0.09ms
 2026-08-27 16:36:11 /build/assets/dist-DYpAiMua.js .. ~ 515.72ms
 2026-08-27 16:36:12 /build/assets/badge-Df5YAb2T.js .. ~ 0.10ms
 2026-08-27 16:36:12 /build/assets/table-BuUfoXgb.js .. ~ 0.72ms
 2026-08-27 16:36:12 /build/assets/button-Gg-Ut9h1.js .. ~ 0.20ms
 2026-08-27 16:36:12 /build/assets/dist-C4E0F_Zx.js .. ~ 0.71ms
 2026-08-27 16:36:12 /build/assets/es2015-BuDVKjBt.js .. ~ 1.25ms
 2026-08-27 16:36:12 /build/assets/utils-CCDJ05Ll.js .. ~ 1.57ms
 2026-08-27 16:36:12 /build/assets/createLucideIcon-DmbgV8gS.js .. ~ 1.80ms
 2026-08-27 16:36:12 /build/assets/validation-CE1VJZsf.js .. ~ 2.04ms
 2026-08-27 16:36:12 /build/assets/instrument-sans-400-normal-D1W7dsQl.woff .. ~ 0.14ms
 2026-08-27 16:36:12 /build/assets/instrument-sans-600-normal-B9e8oLYv.woff .. ~ 0.36ms
 2026-08-27 16:36:12 /build/assets/instrument-sans-500-normal-Z6ESRlEs.woff .. ~ 0.03ms
 2026-08-27 16:36:12 /favicon.svg .. ~ 0.36ms
 2026-08-27 16:36:12 /build/assets/weighing-BMCW3w70.js .. ~ 0.06ms
 2026-08-27 16:36:12 /build/assets/attachments-CJgRV7Us.js .. ~ 0.38ms
 2026-08-27 16:36:12 /build/assets/review-BlEntY1K.js .. ~ 0.57ms
 2026-08-27 16:36:12 /build/assets/report-BP4HFjM6.js .. ~ 0.75ms
